algorithm,alpha,gamma,epsilon,avg_reward_last_100,avg_steps_last_100,avg_falls_last_100,total_falls,success,eval_steps,eval_falls,eval_reward
Q-learning,0.05,0.7,0.05,-19.51,25.41,0.14,313,1,23,0,-2.0
SARSA,0.05,0.7,0.05,-285.19,250.0,0.25,305,1,31,0,-10.0
Q-learning,0.05,0.7,0.1,-33.36,27.45,0.25,658,1,23,0,-2.0
SARSA,0.05,0.7,0.1,-334.13,222.37,0.96,563,0,300,0,-300.0
Q-learning,0.05,0.7,0.2,-104.41,37.19,0.82,1605,1,23,0,-2.0
SARSA,0.05,0.7,0.2,-448.92,249.56,1.5,1465,1,47,0,-26.0
Q-learning,0.05,0.7,0.3,-266.21,52.39,2.22,3040,1,23,0,-2.0
SARSA,0.05,0.7,0.3,-580.33,248.42,2.6,2729,1,39,0,-18.0
Q-learning,0.05,0.9,0.05,-17.98,25.54,0.12,282,1,23,0,-2.0
SARSA,0.05,0.9,0.05,-167.07,146.73,0.23,358,1,29,0,-8.0
Q-learning,0.05,0.9,0.1,-28.52,27.28,0.2,570,1,23,0,-2.0
SARSA,0.05,0.9,0.1,-290.76,237.72,0.34,607,1,33,0,-12.0
Q-learning,0.05,0.9,0.2,-93.97,34.87,0.74,1421,1,23,0,-2.0
SARSA,0.05,0.9,0.2,-399.3,250.0,1.1,1364,0,300,0,-1388.0
Q-learning,0.05,0.9,0.3,-232.43,51.16,1.89,2669,1,23,0,-2.0
SARSA,0.05,0.9,0.3,-579.8,240.54,2.58,2715,1,29,0,-8.0
Q-learning,0.05,0.95,0.05,-17.03,25.46,0.11,270,1,23,0,-2.0
SARSA,0.05,0.95,0.05,-24.62,26.44,0.18,278,1,23,0,-2.0
Q-learning,0.05,0.95,0.1,-25.58,27.27,0.17,591,1,23,0,-2.0
SARSA,0.05,0.95,0.1,-43.45,30.48,0.31,561,1,23,0,-2.0
Q-learning,0.05,0.95,0.2,-86.43,34.02,0.67,1361,1,23,0,-2.0
SARSA,0.05,0.95,0.2,-100.17,52.86,0.55,1393,1,23,0,-2.0
Q-learning,0.05,0.95,0.3,-188.61,47.86,1.49,2477,1,23,0,-2.0
SARSA,0.05,0.95,0.3,-599.46,241.63,2.81,2820,1,33,0,-12.0
Q-learning,0.05,0.99,0.05,-15.91,25.41,0.1,275,1,23,0,-2.0
SARSA,0.05,0.99,0.05,-25.46,26.25,0.19,296,1,23,0,-2.0
Q-learning,0.05,0.99,0.1,-32.66,27.3,0.24,586,1,23,0,-2.0
