episode,score,reward,epsilon,loss,best_score_so_far
0,0,-208.85,0.5982,0.0,0
1,0,-228.0,0.5964054,0.0,0
2,0,-189.6,0.5946161837999999,0.0,0
3,1,-687.6999999999997,0.5928323352485999,13.44856300354004,1
4,0,-258.15000000000003,0.5910538382428541,12.0641610622406,1
5,0,-168.5,0.5892806767281255,12.629918575286865,1
6,0,-282.05000000000007,0.587512834697941,12.357726097106934,1
7,0,-278.6,0.5857502961938472,12.929580688476562,1
8,0,-461.14999999999986,0.5839930453052656,9.546643839942085,1
9,1,-239.10000000000002,0.5822410661693498,8.917135429382324,1
10,0,-174.45,0.5804943429708417,5.488950729370117,1
11,0,-258.1,0.5787528599419292,6.42118775844574,1
12,0,-159.65,0.5770166013621034,5.150729775428772,1
13,0,-312.85,0.5752855515580171,5.48607091108958,1
14,0,-215.45,0.573559694903343,5.013549168904622,1
15,0,-230.20000000000002,0.571839015818633,4.92534065246582,1
16,0,-151.1,0.5701234987711771,4.609055042266846,1
17,1,-96.05,0.5684131282748636,8.41772747039795,1
18,0,-166.35,0.566707888890039,4.900267124176025,1
19,0,-223.45,0.5650077652233688,5.111920595169067,1
20,1,-196.95,0.5633127419276988,3.5442811846733093,1
21,0,-247.45,0.5616228037019156,6.912016272544861,1
22,1,-130.6,0.5599379352908099,3.835174083709717,1
23,0,-149.1,0.5582581214849375,4.333006262779236,1
24,0,-151.05,0.5565833471204826,11.095117568969727,1
25,0,-194.2,0.5549135970791211,4.304715911547343,1
26,0,-143.1,0.5532488562878838,6.066625714302063,1
27,0,-281.9,0.5515891097190201,6.065947484970093,1
28,2,-167.3,0.549934342389863,7.3676207065582275,2
29,1,-363.00000000000006,0.5482845393626935,5.943480345937941,2
30,3,-324.30000000000007,0.5466396857446054,6.198381471633911,3
31,2,-336.30000000000007,0.5449997666873716,6.760454734166463,3
32,4,-358.8,0.5433647673873094,6.224136682657095,4
33,3,-375.20000000000005,0.5417346730851476,6.599005980925127,4
34,2,-258.25,0.5401094690658921,5.934792654854911,4
35,1,-606.7,0.5384891406586944,5.135342025756836,4
36,1,-196.4,0.5368736732367183,7.388870418071747,4
37,4,-69.75,0.5352630522170082,5.3094464302062985,4
38,1,-178.85,0.5336572630603572,5.812313795089722,4
39,1,-160.2,0.5320562912711762,8.817026456197103,4
40,3,-124.6,0.5304601223973626,6.578963661193848,4
41,2,-307.35,0.5288687420301705,6.920889377593994,4
42,6,-275.1,0.52728213580408,7.320848886783306,6
43,0,-134.4,0.5257002893966678,4.995861530303955,6
44,0,-153.75,0.5241231885284778,5.562222957611084,6
45,6,-324.35,0.5225508189628923,5.670428498586019,6
46,1,-159.04999999999998,0.5209831665060036,7.253538290659587,6
47,2,-64.45,0.5194202170064857,6.16169285774231,6
48,0,-177.05,0.5178619563554662,3.906363010406494,6
49,1,-284.65,0.5163083704863998,7.092043263571603,6
50,2,-325.6,0.5147594453749406,9.771587795681423,6
51,4,-281.4000000000001,0.5132151670388158,11.226329803466797,6
52,4,-334.4500000000001,0.5116755215376994,7.585845152537028,6
53,3,-185.35000000000002,0.5101404949730862,5.818099634987967,6
54,1,-269.1,0.508610073488167,6.500958840052287,6
55,2,-160.4,0.5070842432677025,5.7977224588394165,6
56,4,-476.15000000000003,0.5055629905378994,5.984767332673073,6
57,0,-173.1,0.5040463015662857,5.334228515625,6
58,0,-153.65,0.5025341626615869,2.8911285400390625,6
59,2,-352.35,0.5010265601736021,5.982362174987793,6
60,6,-483.95000000000005,0.4995234804930813,5.265068411827087,6
61,3,-472.2000000000001,0.4980249100516021,5.015106558799744,6
62,2,-236.35000000000002,0.4965308353214473,5.254587411880493,6
63,3,-265.50000000000006,0.49504124281548295,4.26784164375729,6
64,1,-141.15,0.4935561190870365,8.03952956199646,6
65,1,-283.84999999999997,0.4920754507297754,4.889528036117554,6
66,5,-305.95,0.4905992243775861,4.9909447232882185,6
67,3,-554.1500000000001,0.4891274267044533,4.255948873127208,6
68,4,-308.04999999999995,0.48766004442433997,4.1790500770915635,6
69,0,-143.1,0.48619706429106696,3.4951040744781494,6
70,4,-338.45000000000005,0.48473847309819373,5.576657076676686,6
71,0,-197.4,0.48328425767889915,4.890551567077637,6
72,2,-85.64999999999999,0.48183440490586243,4.938165187835693,6
73,2,-290.65000000000003,0.48038890169114484,5.628967225551605,6
74,4,-392.3500000000001,0.4789477349860714,5.541433508579548,6
75,0,-162.35,0.47751089178111317,5.910744667053223,6
76,0,-153.75,0.47607835910576984,6.756536483764648,6
77,6,-569.3999999999997,0.4746501240284525,5.377782668386187,6
78,2,-240.40000000000006,0.47322617365636716,5.031420469284058,6
79,5,-137.70000000000002,0.4718064951353981,4.446260794997215,6
80,4,-266.4500000000001,0.4703910756499919,10.297042846679688,6
81,5,-638.05,0.4689799024230419,5.226563973860308,6
82,0,-219.54999999999998,0.46757296271577276,7.073786576588948,6
83,1,-405.05,0.46617024382762545,4.139798831939697,6
84,1,-210.90000000000003,0.46477173309614256,6.080737829208374,6
85,1,-141.3,0.4633774178968541,4.687785784403483,6
86,8,-461.1000000000001,0.46198728564316355,4.579460297312055,8
87,5,-861.5499999999997,0.46060132378623403,4.444830514766552,8
88,1,-186.9,0.4592195198148753,4.146342575550079,8
89,3,-144.64999999999998,0.4578418612554307,3.4315608143806458,8
90,3,-363.5,0.4564683356716644,3.606997153975747,8
91,2,-183.7,0.4550989306646494,4.336225191752116,8
92,1,-222.50000000000003,0.4537336338726555,4.640743684768677,8
93,2,-267.3500000000001,0.4523724329710375,3.652817053454263,8
94,1,-255.85000000000002,0.4510153156721244,4.371718168258667,8
95,3,-138.1,0.44966226972510803,4.264523029327393,8
96,4,-432.09999999999985,0.4483132829159327,3.849652667840322,8
97,0,-203.0,0.4469683430671849,2.6608023643493652,8
98,4,-252.35,0.4456274380379834,3.69286704659462,8
99,2,-238.24999999999997,0.44429055572386944,3.5493191878000894,8
100,2,-199.84999999999997,0.44295768405669783,5.367090622584025,8
101,2,-111.60000000000001,0.4416288110045277,3.2863755226135254,8
102,0,-181.65,0.4403039245715141,4.090872287750244,8
103,1,-259.45,0.4389830127977996,4.527630885442098,8
104,5,-180.04999999999998,0.4376660637594062,3.380032605595059,8
105,2,-225.70000000000005,0.436353065568128,3.64768123626709,8
106,4,-332.1,0.4350440063714236,3.7526440620422363,8
107,10,-641.1499999999995,0.43373887435230934,4.9141754035292005,10
108,1,-378.35,0.4324376577292524,5.144642502069473,10
109,1,-195.1,0.43114034475606466,4.952003359794617,10
110,1,-423.84999999999997,0.42984692372179645,4.381825988942927,10
111,3,-268.75000000000006,0.42855738295063106,3.9472833052277565,10
112,1,-217.9,0.42727171080177917,4.022904777526856,10
113,2,-207.9,0.42598989566937384,3.4320265452067056,10
114,4,-490.84999999999985,0.42471192598236573,3.6198984906077385,10
115,5,-449.8999999999999,0.42343779020441863,4.1416513212025166,10
116,1,-199.55,0.4221674768338054,2.9827382564544678,10
117,1,-237.6,0.420900974403304,3.8883098463217416,10
118,1,-130.6,0.4196382714800941,3.3039222955703735,10
119,1,-119.94999999999999,0.4183793566656538,5.522035360336304,10
120,1,-130.6,0.41712421859565685,4.069624662399292,10
121,2,-335.05000000000007,0.4158728459398699,3.595107489162021,10
122,3,-127.45000000000002,0.41462522740205027,3.9925889015197753,10
123,3,-146.6,0.41338135171984414,3.0313117305437722,10
124,4,-353.75000000000006,0.4121412076646846,3.4959240754445395,10
125,2,-331.80000000000007,0.41090478404169056,3.102891869015164,10
126,3,-47.85,0.4096720696895655,2.8556450605392456,10
127,3,-181.29999999999998,0.4084430534804968,3.515937566757202,10
128,0,-248.00000000000003,0.4072177243200553,3.4468778371810913,10
129,3,-32.650000000000006,0.40599607114709513,2.8344972133636475,10
130,2,-583.3,0.40477808293365386,3.4208980798721313,10
131,1,-139.85,0.4035637486848529,2.9977779388427734,10
132,2,-231.70000000000002,0.40235305743879834,3.993558032172067,10
133,3,-225.05000000000007,0.40114599826648195,4.522695439202445,10
134,5,-567.3500000000001,0.3999425602716825,3.2811389952898025,10
135,4,-545.2999999999997,0.39874273259086745,2.9084680676460266,10
136,0,-207.10000000000002,0.39754650439309486,5.075197219848633,10
137,3,-310.0,0.3963538648799156,4.3295660495758055,10
