episode,score,reward,epsilon,best_score_so_far
0,0,-212.90000000000003,0.4985,0
1,0,-282.0,0.4970045,0
2,0,-587.1499999999999,0.4955134865,0
3,0,-161.75,0.4940269460405,0
4,0,-704.1999999999997,0.4925448652023785,0
5,0,-181.65,0.4910672306067714,0
6,0,-159.75,0.4895940289149511,0
7,1,-189.55,0.48812524682820624,1
8,0,-161.8,0.4866608710877216,1
9,0,-454.94999999999993,0.4852008884744584,1
10,0,-192.25,0.48374528580903503,1
11,0,-163.75,0.4822940499516079,1
12,1,-1081.3999999999992,0.4808471678017531,1
13,0,-392.59999999999997,0.4794046262983478,1
14,0,-411.4,0.47796641241945276,1
15,0,-181.70000000000002,0.4765325131821944,1
16,0,-191.6,0.47510291564264784,1
17,1,-428.8,0.4736776068957199,1
18,0,-243.4,0.47225657407503274,1
19,0,-322.55,0.47083980435280764,1
20,0,-372.20000000000005,0.4694272849397492,1
21,1,-115.4,0.46801900308493,1
22,0,-194.35000000000002,0.4666149460756752,1
23,0,-328.20000000000005,0.4652151012374482,1
24,2,-283.5,0.46381945593373586,2
25,0,-294.65,0.46242799756593467,2
26,0,-181.65,0.46104071357323684,2
27,0,-329.20000000000005,0.4596575914325171,2
28,1,-271.5,0.45827861865821956,2
29,0,-189.7,0.4569037828022449,2
30,1,-158.60000000000002,0.4555330714538382,2
31,2,-136.5,0.4541664722394767,2
32,0,-181.75,0.45280397282275825,2
33,1,-269.45000000000005,0.45144556090429,2
34,0,-181.65,0.4500912242215771,2
35,1,-241.20000000000005,0.4487409505489124,2
36,0,-136.45,0.4473947276972656,2
37,0,-306.35,0.44605254351417384,2
38,1,-191.85,0.4447143858836313,2
39,2,-418.24999999999994,0.4433802427259804,2
40,0,-247.10000000000002,0.4420501019978025,2
41,3,-508.59999999999997,0.44072395169180906,3
42,2,-87.45,0.4394017798367336,3
43,2,-382.79999999999995,0.4380835744972234,3
44,2,-322.6,0.43676932377373173,3
45,1,-104.75,0.43545901580241053,3
46,3,-183.4,0.4341526387550033,3
47,1,-236.70000000000002,0.43285018083873833,3
48,0,-310.9,0.4315516302962221,3
49,2,-466.5999999999999,0.4302569754053335,3
50,2,-279.4,0.4289662044791175,3
51,0,-220.25,0.42767930586568015,3
52,0,-241.4,0.4263962679480831,3
53,1,-154.05,0.42511707914423885,3
54,0,-190.20000000000002,0.42384172790680613,3
55,0,-145.15,0.4225702027230857,3
56,3,-190.35,0.42130249211491644,3
57,1,-309.05,0.4200385846385717,3
58,3,-215.75000000000003,0.418778468884656,3
59,3,-312.20000000000005,0.417522133478002,3
60,1,-246.04999999999998,0.41626956707756796,3
61,2,-463.99999999999994,0.41502075837633523,3
62,1,-288.40000000000003,0.41377569610120624,3
63,1,-104.75,0.41253436901290264,3
64,0,-411.85,0.41129676590586395,3
65,0,-297.20000000000005,0.41006287560814636,3
66,2,-118.1,0.4088326869813219,3
67,1,-262.85,0.4076061889203779,3
68,2,-292.55,0.40638337035361677,3
69,2,-328.1,0.40516422024255594,3
70,1,-113.35000000000001,0.40394872758182826,3
71,1,-151.95,0.40273688139908276,3
72,2,-440.2,0.4015286707548855,3
73,1,-495.35,0.4003240847426209,3
74,2,-207.45000000000002,0.399123112488393,3
75,0,-228.15,0.3979257431509278,3
76,5,-447.89999999999986,0.396731965921475,5
77,2,-203.3,0.3955417700237106,5
78,1,-170.5,0.39435514471363947,5
79,0,-333.40000000000003,0.39317207927949854,5
80,0,-215.60000000000002,0.39199256304166,5
81,1,-169.15,0.39081658535253505,5
82,0,-190.35000000000002,0.3896441355964774,5
83,3,-128.6,0.388475203189688,5
84,1,-362.8,0.3873097775801189,5
85,1,-328.5000000000001,0.3861478482473786,5
86,1,-241.20000000000002,0.38498940470263643,5
87,1,-239.75,0.3838344364885285,5
88,2,-339.30000000000007,0.38268293317906293,5
89,0,-265.3,0.38153488437952576,5
90,0,-169.10000000000002,0.38039027972638717,5
91,0,-305.75,0.37924910888720803,5
92,2,-141.95,0.3781113615605464,5
93,2,-385.45000000000005,0.37697702747586476,5
94,3,-291.65,0.37584609639343713,5
95,0,-181.75,0.3747185581042568,5
96,0,-211.5,0.373594402429944,5
97,0,-325.1,0.3724736192226542,5
98,2,-98.85,0.37135619836498623,5
99,2,-199.8,0.3702421297698913,5
100,2,-276.85,0.3691314033805816,5
101,2,-154.6,0.36802400917043987,5
102,5,-365.95,0.36691993714292853,5
103,3,-219.14999999999998,0.36581917733149977,5
104,2,-279.85,0.36472171979950524,5
105,1,-203.59999999999997,0.3636275546401067,5
106,1,-124.65,0.3625366719761864,5
107,1,-139.20000000000002,0.36144906196025783,5
108,2,-247.05,0.36036471477437704,5
109,2,-244.6,0.3592836206300539,5
110,2,-213.5,0.35820576976816376,5
111,2,-291.70000000000005,0.3571311524588593,5
112,2,-100.95,0.35605975900148273,5
113,1,-216.4,0.3549915797244783,5
114,2,-428.59999999999985,0.35392660498530487,5
115,1,-160.6,0.35286482517034895,5
116,3,-239.20000000000002,0.3518062306948379,5
117,2,-157.35,0.3507508120027534,5
118,1,-149.9,0.3496985595667451,5
119,1,-149.9,0.34864946388804485,5
120,0,-164.4,0.34760351549638074,5
121,0,-162.4,0.3465607049498916,5
122,3,-466.4000000000001,0.34552102283504194,5
123,2,-47.24999999999999,0.3444844597665368,5
124,1,-111.35,0.3434510063872372,5
125,1,-98.1,0.3424206533680755,5
