episode,score,reward,epsilon,best_score_so_far
0,0,-212.90000000000003,0.4985,0
1,0,-157.65,0.4970045,0
2,0,-172.4,0.4955134865,0
3,0,-255.95000000000002,0.4940269460405,0
4,0,-161.75,0.4925448652023785,0
5,0,-151.15,0.4910672306067714,0
6,2,-363.55000000000007,0.4895940289149511,2
7,1,-569.7499999999998,0.48812524682820624,2
8,1,-335.1000000000001,0.4866608710877216,2
9,0,-495.65000000000003,0.4852008884744584,2
10,0,-174.4,0.48374528580903503,2
11,1,-274.05,0.4822940499516079,2
12,0,-962.9999999999995,0.4808471678017531,2
13,1,-210.8,0.4794046262983478,2
14,1,-433.69999999999976,0.47796641241945276,2
15,1,-465.7999999999999,0.4765325131821944,2
16,0,-185.0,0.47510291564264784,2
17,0,-181.7,0.4736776068957199,2
18,0,-289.65,0.47225657407503274,2
19,0,-277.2,0.47083980435280764,2
20,2,-272.09999999999997,0.4694272849397492,2
21,1,-251.45000000000005,0.46801900308493,2
22,1,-187.84999999999997,0.4666149460756752,2
23,0,-164.5,0.4652151012374482,2
24,1,-190.45000000000002,0.46381945593373586,2
25,1,-123.9,0.46242799756593467,2
26,1,-119.45,0.46104071357323684,2
27,0,-204.25,0.4596575914325171,2
28,1,-173.7,0.45827861865821956,2
29,1,-158.6,0.4569037828022449,2
30,1,-320.70000000000005,0.4555330714538382,2
31,1,-669.7499999999999,0.4541664722394767,2
32,2,-132.85,0.45280397282275825,2
33,1,-239.55,0.45144556090429,2
34,0,-478.7499999999999,0.4500912242215771,2
35,0,-168.4,0.4487409505489124,2
36,1,-173.79999999999998,0.4473947276972656,2
37,1,-305.15000000000003,0.44605254351417384,2
38,0,-219.60000000000002,0.4447143858836313,2
39,1,-145.3,0.4433802427259804,2
40,1,-171.25,0.4420501019978025,2
41,1,-216.25,0.44072395169180906,2
42,1,-293.25,0.4394017798367336,2
43,2,-168.40000000000003,0.4380835744972234,2
44,0,-241.50000000000003,0.43676932377373173,2
45,3,-286.3,0.43545901580241053,3
46,2,-88.2,0.4341526387550033,3
47,3,-298.9000000000001,0.43285018083873833,3
48,0,-303.25,0.4315516302962221,3
49,1,-113.55,0.4302569754053335,3
50,1,-381.1,0.4289662044791175,3
51,3,-110.35,0.42767930586568015,3
52,4,-276.40000000000003,0.4263962679480831,4
53,2,-218.05,0.42511707914423885,4
54,0,-181.65,0.42384172790680613,4
55,1,-282.0,0.4225702027230857,4
56,2,-319.6,0.42130249211491644,4
57,2,-313.55000000000007,0.4200385846385717,4
58,1,-244.20000000000002,0.418778468884656,4
59,3,-264.0,0.417522133478002,4
